app,country,coef_log_new_ratings_L1,p_log_new_ratings_L1,coef_new_avg_rating_L1,p_new_avg_rating_L1,coef_new_avg_rating_L2,p_new_avg_rating_L2,coef_weeks_since_launch,p_weeks_since_launch,n_obs,r2
ChatGPT_apple,US,0.14478377032108533,1.2042281429813784e-06,-0.24742645411055358,0.025501277522362642,0.00029906317025576155,0.9892342788484321,-0.0005531155390416595,0.4502420354866117,129,0.4079729768798309
ChatGPT_apple,IN,0.0015284943127542583,0.9571237910038155,-0.29019541466182036,0.08528014081048574,-0.18013175036553478,6.275688595902551e-06,0.011386517809278712,0.0,129,0.7223209343099836
ChatGPT_apple,KR,0.11834180549210727,7.157952262959455e-05,0.07633107012595296,0.4655622986499419,-0.14359004578037796,0.0004708985475196936,0.002660261940836359,0.021223634227499177,129,0.5392207133787059
ChatGPT_apple,GB,0.10366695811099198,0.0004364095821935976,-0.05276369151177184,0.5472144369159131,-0.07278244175967459,0.00019181898863895874,0.0019841980531027366,0.0017276340867107276,129,0.5875656802239266
ChatGPT_apple,JP,0.10815547998323084,0.0021501956168368253,-0.2643173948725259,0.042977568244814135,-0.19664747878615013,0.00030964173597314293,0.002708507369776426,0.00583265107960651,129,0.28834456580714474
ChatGPT_apple,CA,0.1436491493334805,4.162759026371532e-11,-0.24175604122766375,0.016565523635174273,-0.11277784863899239,0.00012566468036179224,-0.001880577447510424,0.004095388969845404,129,0.3447222177494972
ChatGPT_apple,FR,0.13666565222104324,1.9530046668769785e-06,0.056175340094790804,0.7821889102264659,-0.027619868732903466,0.21736642423785257,-0.0010039646813643117,0.12897900139318197,129,0.5246194056708819
ChatGPT_apple,DE,0.12621711948718223,6.310083354055251e-05,-0.2308191003320462,0.04519883223564869,-0.07732282758669766,0.0001009233961704048,-0.001982511407689283,0.010563911710435692,129,0.2579361838622005
ChatGPT_apple,BR,0.006286398451418386,0.8353884073800519,-0.34869935817946146,0.0877735814463132,-0.063018636475122,0.3032098645134964,0.011451127902525511,0.0,128,0.6524616496235374
ChatGPT_apple,SA,0.2639816559888364,3.609928194925338e-05,2.7783527519069007,0.0065398528165625525,0.0356262377434469,0.16200542124490314,0.007502032308356775,0.0024091865157056525,114,0.5525289277583109
